tweet_id,clean_text,label,vader_compound,manual_label
1.64003E+18,".His entering in US will it be the end of his story or the beginning of his story? amp If changes his mind where will this live the , amp diplomacy. If he changes his mind what will that mean to the future of the Rwandan politics?",neutral,0,neutral
1.71131E+18,Inside upcoming HRW report on and the politics behind it,neutral,0,neutral
1.7112E+18,Inside the upcoming Human Rights Watch HRW report on and the politics behind it,neutral,0,neutral
1.75552E+18,Fuel Stations in vs Fuel Stations in Nothing works if politics is not right,neutral,0,neutral
1.74688E+18,"The normalisation of extremism on again on on . The discussion inc 2 Tories, one right-winger amp one Lab allows the right-wing racheting of UK politics into extremism, busting the rule of law amp courts amp international law all to go unsaid unchallenged.",neutral,0,negative
1.76961E+18,"The former Rwandan Armed Forces significantly contributed to planning and carrying out the 1994 Genocide against the Tutsi. Despite Rwandan law prohibiting military involvement in politics, they remained the lead",neutral,0,negative
1.77187E+18,"Rusesabagina is a pawn fronted by the to politics in , whoever doesn't see it should look at a running and see the average leader they have in mind when it comes to Africa politics and are both and !",neutral,0,negative
1.80369E+18,When the politics are right,neutral,0,neutral
1.78855E+18,How Caribbean and African nations are spearheading gender equality in politics The Uniqueness,neutral,0,positive
1.8247E+18,"Richard Nyirishema, the vice president of Rwanda Basketball Federation Ferwaba and a veteran of the national basketball team, is 's new Sports Minister. President named his new cabinet on Friday.",neutral,0,neutral
1.86914E+18,s first multiparty politics reflected divisions of late colonial period Peter Ruti,neutral,0,neutral
1.64036E+18,s first interview as confirmed new executive director. She spoke with of the about how the UK s plan to deport asylum seekers to is cheap politics and will further erode Britain s global standing.,neutral,0,negative
1.61577E+18,"is a country where speaking to the media can land someone in jail for 7 years. As the 2024 elections approach, Théophile Ntirutwa and many other opposition activists are paying a high price for their involvement in politics.",neutral,0,negative
1.78304E+18,Rwanda Explained - From Politics to Human Right to Migration,neutral,0,neutral
1.78336E+18,The Newly Renovated New Amahoro Stadium . Everything works when the Politics is Right. Leadership in Motion,neutral,0,positive
1.81584E+18,"In US dollars, cost a billion dollars. How many people were sent there? This was always dogwhistle politics. ...and they will be for a LONG time.",neutral,0,negative
1.6545E+18,"PHOTOS Today, President , who currently serves as the Chair-in-Office of the Commonwealth, attended the Commonwealth Heads of Government Leaders meeting. Chris Jackson Anna Gordon",neutral,0,neutral
1.65486E+18,"PHOTOS Prime Minister Edouard Ngirente on Saturday attended the opening ceremony of the 11th Regional Oversight Mechanism Summit, on behalf of President in Bujumbura.",neutral,0,neutral
1.64067E+18,"This afternoon, President is expected to attend the closing ceremony of the Itorero for cell executive secretaries. You can follow the event live on RBA.",neutral,0,neutral
1.6443E+18,"We have our lives to live, all of us. And nobody will ever decide for us how to live our lives. -President .",neutral,0,positive
1.63807E+18,JUST IN President is in Doha for a working visit where he will hold talks with Qatari Emir Tamim bin Hamad Al Thani. The two leaders' discussion will centre around ongoing areas of bilateral partnerships.,neutral,0,neutral
1.6831E+18,"VIDEO President bids farewell to President of the Republic of Congo, as he concludes his three-day State Visit.",neutral,0,neutral
1.66684E+18,"PHOTOS President on Thursday met with Central African Republic President, Faustin-Archange Touadéra, who is on a working visit to . According to Village Urugwiro, the two leaders discussed areas of ongoing bilateral cooperation.",neutral,0,neutral
1.70773E+18,"HEADS-UP This afternoon, President Paul is expected to preside over the swearing-in ceremony for General Rtd James Kabarebe, Minister of State for Foreign Affairs in charge of Regional Cooperation and RDB CEO, Francis Gatare. The function, which will take place at Village Urugwiro, will be broadcasted live on RBA platforms.",neutral,0,neutral
1.69282E+18,WATCH President joins the Giants of Africa basketball community in the monthly communal work - Umuganda- in Kigali city. TNT,neutral,0,positive
1.67118E+18,"PHOTOS President has received President Hakainde Hichilema of Zambia, who begins a two-day state visit to Rwanda.",neutral,0,neutral
1.6712E+18,"Zambian President Hakainde Hichilema arrived in Kigali on Tuesday afternoon for a two-day state visit where he is also expected to address the inaugural FinTech forum that started on June 20. Upon arrival, Hichilema was received by President .",neutral,0,neutral
1.67623E+18,"President on the recent report by UN Group of Experts on DR Congo These reports have been there for close to 30 years. When you look at it and you know what has happened and what is happening, sometimes you wonder what this exercise is all about.",neutral,0,positive
1.69103E+18,"VIDEO President , Masai Ujiri, and others break ground for Zaria Court.",neutral,0,neutral
1.70586E+18,"Kagame goes for 4th term, potentially joining club of power clingers . If he gets re-elected in August 2024, Paul will cement his position as East Africa's second longest-serving leader after Uganda s , who has been in power since 1986.",neutral,0,negative
1.74578E+18,VIDEO President arrives in Zanzibar City for the 60th Anniversary Celebration of the Revolution.,neutral,0,neutral
1.74647E+18,President arrives at the Kigali Convention Center for the . Follow event live,neutral,0,neutral
1.74296E+18,"From chairing national meetings to hosting foreign leaders, 2023 was an action-packed year for President both in and outside the country. In PHOTOS, including some not seen before, here's a recap of how last year went for the Head of State.",neutral,0,positive
1.7328E+18,"President Paul held a meeting with Anders Holch Povlsen, owner and CEO of Bestseller, and Flemming Besenbacher, Unleash chairman, at Village Urugwiro on Thursday, December 7.",neutral,0,neutral
1.79149E+18,"VIDEO President arrived at the Kigali Convention Center, for the presidential panel and closing ceremony of the .",neutral,0,neutral
1.77725E+18,HEADS-UP Tune in this Monday as President addresses local and international media at a press conference. Stay informed and follow live on RBA platforms.,neutral,0,neutral
1.78452E+18,"President and Kristalina Georgieva, Managing Director of the International Monetary Fund IMF , held on Sunday discussions on ongoing fruitful partnership between and the Fund.",neutral,0,positive
1.77725E+18,"PHOTOS President is this morning expected to hold a press conference, at the Kigali Convention Centre, with members of both the local and international media who are in to cover events related to . TNT",neutral,0,neutral
1.79338E+18,President chaired a cabinet meeting in Kigali on Wednesday. Read full communiqué,neutral,0,neutral
1.78779E+18,"WATCH President has arrived at BK Arena to interact with over 7,000 youth volunteers from across the country. Follow live",neutral,0,neutral
1.84182E+18,WATCH President Paul has concluded his three-day official visit to Latvia. ----------- Perezida Kagame yasoje uruzinduko rw'iminsi itatu yagiriraga muri Latvia.,neutral,0,neutral
1.82261E+18,VIDEO Gabon President Brice Oligui Nguema has arrived at Amahoro Stadium for the inauguration ceremony of President Paul .,neutral,0,neutral
1.84395E+18,"President has arrived at the Kigali Convention Centre to officiate the opening ceremony of the second edition of the AfCFTA Business Forum, . Follow event live",neutral,0,neutral
1.84658E+18,"President has paid tribute to former minister Col rtd Joseph Karemera, who passed away on October 11, as a man who worked tirelessly to build .",neutral,0,positive
1.83162E+18,WATCH President joined African and Chinese leaders for the opening ceremony of the 2024 Forum on China-Africa Cooperation FOCAC Summit.,neutral,0,neutral
1.82373E+18,"Prime Minister Edouard Ngirente took the oath of office on Wednesday, one day after President reappointed him in the position.",neutral,0,neutral
1.63012E+18,JUST IN President and First Lady Jeannette Kagame have arrived at Kigali Convention Centre for Day 1 of . Follow live,neutral,0,neutral
1.63751E+18,"VIDEO Today, President received UK Home Secretary for discussions on the UK-Rwanda Migration and Economic Development Partnership.",neutral,0,neutral
1.62181E+18,JUST IN President has arrived in Burundi for the 20th Extra-Ordinary Summit of EAC Heads of State.,neutral,0,neutral
1.71162E+18,"President inaugurated the IRCAD Africa in Kigali last Saturday, formally opening the campus doors for Rwandan and African surgeons who will be trained in high-tech minimally invasive surgery. Here's how the next-gen surgery works.",neutral,0,positive
1.68054E+18,"President and President will witness the signing of two Memoranda of Understanding, then address members of the press. Stay tuned to for live coverage.",neutral,0,neutral
1.66685E+18,"PHOTOS Today, President held a meeting with President Faustin-Archange Touadéra of the Central African Republic at Urugwiro Village. President Touadéra is currently on a working visit to Rwanda.",neutral,0,neutral
1.69077E+18,"I was born here Rwanda , I grew up in Uganda, my wife was born in Burundi, we met in Kenya and we are here. So, Africans that's who we are. We are brothers, we are sisters. - President .",neutral,0,positive
1.67143E+18,UPDATE Visiting Zambian President Hakainde Hichilema and President Paul are expected to address the media shortly. TNT,neutral,0,neutral
1.72294E+18,"VIDEO President joins other leaders at the inaugural Saudi-African Summit, taking place at the King Abdulaziz International Conference Center in Riyadh. Saudi News TV",neutral,0,neutral
1.75307E+18,"PHOTOS President and First Lady Jeannette Kagame, who are in Washington, D.C., for , on Thursday, joined close to 3,500 guests for the National Prayer Breakfast.",neutral,0,neutral
1.73568E+18,President named Pudence Rubingisa as the new Governor of Eastern Province and Cleophas Barore as Director General of the Rwanda Broadcasting Agency RBA . They are some of the Dec. 14 major appointments. Here's what to know.,neutral,0,neutral
1.74152E+18,End of year message from President Paul will be aired this Sunday evening at 8PM on all our platforms.,neutral,0,neutral
1.74315E+18,"From chairing national meetings to hosting foreign leaders, 2023 was an action-packed year for President both in and outside the country. In PHOTOS, including some never seen before, here's a recap of how last year went for the Head of State.",neutral,0,positive
1.72219E+18,"President Paul on why investors should consider Africa First of all, it is long overdue. Africa has everything the rest of the world has... even more.",neutral,0,positive
1.7512E+18,"UPDATE President and First Lady Jeannette Kagame on Saturday bid farewell to Mamadi Doumbouya, Guinea-Conakry president and his delegation, who were in Rwanda for a three-day visit. RBA",neutral,0,neutral
1.7441E+18,"Abdullah II ibn Al-Hussein, the King of Jordan, arrived Sunday in for a three-day working visit and was received at the airport by President .",neutral,0,neutral
1.62772E+18,"That s how it is in Rwanda since 1994, that s the unity promesed rwandans.",neutral,0,positive
1.63598E+18,THE MAN WHO DREAMED RWANDA,neutral,0,positive
1.72123E+18,"So, is a CALAMITY for and Rwandan citizens , don't you realize ?!",neutral,0,negative
1.76645E+18,We re On!!!!!!! Congress,neutral,0,positive
1.75295E+18,"Ibigwi by'Inkotanyi, Cya kicaro amp Itsinzi Covered by Kellia amp Lauritha via",neutral,0,positive
1.76645E+18,Congress In the place,neutral,0,neutral
1.80766E+18,2 Presidential and parliamentary campaigns in are already in high gear. The campaign venues of president Paul who is the Chairman of have exhibited mammoth crowds.,neutral,0,positive
1.79535E+18,"With leadership, Rwanda has witnessed a digital revolution through the deployment of fiber optic cables and the establishment of internet exchange points, revolutionizing internet access and reliability nationwide. Gakenke",neutral,0,positive
1.65116E+18,The victory in this picture,neutral,0,positive
1.76648E+18,Congress President Kagame Paul Chairman of elected with 1935 votes to be the 2024 RPF Inkotanyi presidential candidate. 1953 voting - 3 blank - 15 null,neutral,0,positive
1.79133E+18,"Rwanda achieved Universal Health Coverage status, recognized by the WHO, under 's leadership.",neutral,0,positive
1.81439E+18,"Associating communities, especially politicians, with the brought in by and is a continuation of the genocide in .",neutral,0,negative
1.80838E+18,"Many often say that in we coerce people to come here. I tell them to try it themselves in their own places and see what the result will be. They should try it, use force to gather as many people and see the consequences. Chairman Presidential Campaign",neutral,0,positive
1.77441E+18,"You write things with intention to tarnish the image of and entire but there is something you reflect. Kagame's enormous capacity you say yourself that he deposed, he installed, he groomed, he tried...you showcase the right thing his enormous capacity!",neutral,0,positive
1.6618E+18,"Rwandan Foreign Minister Vincent Biruta and his Ukrainian counterpart, Dmytro Kuleba, on Thursday, signed a memorandum of understanding on political consultations between the two countries. Kuleba was in for a one-day visit.",neutral,0,neutral
1.68231E+18,"The President of the Republic of Congo, Denis Sassou Nguesso, is expected to visit on Friday, July 21, where he will address a joint session of the Parliament, The New Times has learned.",neutral,0,neutral
1.76319E+18,"Who is Francis Kamanzi, the new mines board CEO?",neutral,0,neutral
1.7649E+18,Rwandans are expected to exercise their right to elect their next president and members of parliament MPs in July. It will be 's first joint presidential and parliamentary election. How do you know if you're eligible to vote? READ,neutral,0,neutral
1.83862E+18,"-ns are going to be represented by a female majority in the Senate a first in the country s history with women making a 65 per cent of the Upper House, or 17 of the 26 senators, up from 35 per cent.",neutral,0,positive
1.82345E+18,"President has reappointed Edouard Ngirente as Prime Minister. Ngirente, 51, first took office in August 2017, becoming the sixth Prime Minister in post-Genocide .",neutral,0,neutral
1.82498E+18,"President named a new cabinet on Friday, with most ministers retaining their positions. The 30-member team includes three new faces. Here's what to know about the new faces in 's cabinet.",neutral,0,neutral
1.84759E+18,"Former Sports Minister Aurore Mimosa Munyangaju has been nominated as s ambassador to Luxembourg, while Patricia Uwase has been named CEO of the Rwanda Cooperation Initiative RCI .",neutral,0,neutral
1.86667E+18,s envoy James Ngango on December 7 presented his letters of credence to Pope Francis in a ceremony held at the Apostolic Palace in the Vatican City.,neutral,0,neutral
1.82374E+18,Gertrude Kazarwa has been elected as the new Speaker of 's Parliament after receiving 78 out of 80 votes in the first sitting of the new five-year term on Wednesday.,neutral,0,neutral
1.64008E+18,"Who is Dr Abdallah Utumatwishima, the new -n Minister of Youth?",neutral,0,neutral
1.61235E+18,"Doğuş Group, one of the largest private conglomerates in Turkey, has announced plans to establish three luxury resort hotels in . Rwanda s annual import volume to Turkey, according to the , surpassed 79 million in 2021.",neutral,0,neutral
1.72516E+18,"If not Rwanda... where? , and discuss options. Full episode",neutral,0,neutral
1.6375E+18,"PHOTOS Today, President met with UK Home Secretary who is visiting Rwanda, to discuss the UK-Rwanda Migration and Economic Development Partnership.",neutral,0,neutral
1.6607E+18,"JUST IN President has arrived in Doha, Qatar for the 3rd Qatar Economic Forum. Upon arrival, Akbar Al-Baker, the Group CEO of Qatar Airways, received him.",neutral,0,neutral
1.71424E+18,"PHOTOS President on Tuesday attended the Mobile World Congress, Africa's largest connectivity conference, where he delivered remarks during the opening session. TNT",neutral,0,neutral
1.71462E+18,VIDEO President interacts with organizers of the Mobile World Congress,neutral,0,neutral
1.68284E+18,"UPDATE President on Saturday gifted his visiting counterpart of the Republic of Congo, President Sassou Nguesso, inyambo cows in Kibugabuga. Village Urugwiro",neutral,0,neutral
1.75391E+18,Rwanda got the leadership Rwanda deserved. - President,neutral,0,positive
1.75696E+18,The elections are for people to decide whether the people they are electing are qualified for the job - President,neutral,0,neutral
1.76766E+18,"President Paul , on March 12, appointed Amb.Monique Mukaruliza as Ambassador at large in charge for regional integration in the Ministry of Foreign Affairs and International Cooperation.",neutral,0,neutral
1.8117E+18,WATCH Chairman of Paul has arrived in Bumbogo-Gasabo District for presidential campaign.,neutral,0,neutral
1.81281E+18,"President and First Lady Jeannette Kagame cast their ballots in the presidential and parliamentary elections at SOS Kagugu polling station in Kinyinya, Gasabo. TNT",neutral,0,neutral
1.8063E+18,"BREAKING Paul , the presidential candidate for the RPF-led coalition, has arrived at the Nyagisenyi campaign site in Nyamagabe District for the fifth day of the ruling party's campaign for the July general election. TNT",neutral,0,neutral
1.77775E+18,"WATCH President on Tuesday met with UK Prime Minister Rishi Sunak at Downing Street, London. VOA Africa",neutral,0,neutral
1.77222E+18,"We still have primitive politics going on based on ethnic. And this is exactly what brings together Tshisekedi, Ndayishimiye and FDLR. -President",neutral,0,negative
1.81687E+18,WATCH President and First Lady Jeannette Kagame are attending a reception hosted by President before heading to the Olympic Games Opening Ceremony.,neutral,0,neutral
1.82741E+18,PHOTOS President Paul and First Lady Jeannette Kagame are following the semi-finals game of the 2026 FIBA Women s World Cup pre-qualifiers between Rwanda and Senegal. TNT,neutral,0,neutral
1.86941E+18,"President Paul on Wednesday, December 18, received a message from his Angolan counterpart Joao Laurenço, who is the facilitator of the Luanda process.",neutral,0,neutral
1.86942E+18,PHOTOS President on Wednesday received a delegation from the African Materials Research Society AMRS and the African Renaissance Institute for Science and Technology ARIST .,neutral,0,neutral
1.83928E+18,"HEADS-UP This afternoon, President will preside over the swearing-in ceremony of Senators. The event will be broadcast live on RBA platforms.",neutral,0,neutral
1.82455E+18,President has appointed the new cabinet.,neutral,0,neutral
1.83309E+18,"WATCH President has arrived at Kigali Convention Centre, where he will open the Commonwealth Magistrates and Judges Association CMJA Annual Conference. TNT",neutral,0,neutral
1.64324E+18,LIVE President and President William are now addressing a joint press conference. Follow the presser live.,neutral,0,neutral
1.65154E+18,JUST IN President Paul has arrived in Tanzania for a working visit. TBC,neutral,0,neutral
1.66429E+18,"UPDATE President and the First Lady, Jeannette Kagame, are in Jordan, where they are attending the wedding of Crown Prince Al Hussein bin Abdullah II and Rajwa Al-Saif, the President's announced on Thursday.",neutral,0,neutral
1.69469E+18,HAPPENING President is officiating the swearing-in of newly appointed Government officials.,neutral,0,neutral
